Name,P1,P2,P3,P4,P5
DP 0,19.95,0,1.395,19.88983,1.4544607
DP 1,19.99,0,0.7,19.92819,0.98562354
DP 2,19.805,0,-2.785,19.951157,-1.2981255
DP 3,19.89,0,-2.09,19.883724,-0.86517704
DP 4,19.95,0,-1.395,19.932669,-0.39330521
DP 5,19.975,0,-1.045,19.947901,-0.1612297
DP 6,19.99,0,-0.7,19.953074,0.065302931
DP 7,19.995,0,-0.35,19.94927,0.29396659
DP 8,20,0,0,19.946894,0.52320713
DP 9,19.975,0,1.045,19.912642,1.2165914
DP 10,19.995,0,0.35,19.936457,0.75339615
DP 11,19.85,0,-2.435,19.84021,-1.1062499
DP 12,19.925,0,-1.745,19.915293,-0.62892276
