run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw
21	13	12	31	-4.998	0	103.15	101147	292.63	307.7	-25	-89.7	-75.8	94.6	7.5	243.181	1.20413895847153	240.637672965742	19.9921040564378	219324.471497649	0	0	0	0	0	0	0	0	0	101147	1.50384041473759e-05	Inf	Inf	2.85119366908471	-0.305400763356296	-7.83226571057968	-0.101716058201262	-1.77019680522904	-0.0497948787210817	0.0545586832107557	-0.00584396061233821	-0.149873405079199	-0.00139366328175356	-0.205318637952479	-0.000682264878527139	-0.154056752740546	0.0412941206319209	0.00584396061233821	-0.149873405079199	0.0545586832107557	0.00584396061233821	-0.00308867858795668	-0.220696164762486	-0.220696164762486	-0.000410582058603834
22	13	13	15	-4	0	103.31	101144	292.61	296.2	-25.6	-51.1	-41.1	98.5	6.3	243.222	1.20418554484333	241.010900772458	20.0072148541861	219510.348156053	0	0	0	0	0	0	0	0	0	101144	1.50370269257219e-05	Inf	Inf	2.74403771818551	-0.3354163186634	-3.23664467113348	-0.188412188530845	-1.62678970348894	-0.043344440993831	0.0524268991826281	-0.00640838039733734	-0.061838524572363	-0.00257753317604047	-0.188393177088226	-0.000592964476076017	-0.065345004650817	0.0479855524754785	0.00640838039733734	-0.061838524572363	0.0524268991826281	0.00640838039733734	-0.00441443871905631	-0.20316985424211	-0.20316985424211	-0.000283584365813685
23	13	13	55	-3	0	103.26	101143	292.59	288.2	-29.8	-14.9	-2.8	107	7	243.21	1.2042559505211	240.894266828351	20.0017884403309	219475.252876491	0	0	0	0	0	0	0	0	0	101143	1.50353523901568e-05	Inf	Inf	2.66722704289115	-0.390203361017844	1.51527189282216	-0.202664300850092	-1.49448223477495	-0.0499463427634903	0.0509840466430059	-0.00745873749721251	0.0289644232073849	-0.00277384855659882	-0.173154879262972	-0.000683611224082213	0.0262564296378287	0.0524300555645943	0.00745873749721251	0.0289644232073848	0.0509840466430059	0.00745873749721251	-0.00490521075982105	-0.187524884145731	-0.187524884145731	-0.000425955462969813
24	13	14	33	-2	0	103.23	101143	292.57	287	-37.4	17	36.7	120.4	7.5	243.277	1.20433827310718	240.824286572944	19.9981994261192	219462.48251218	0	0	0	0	0	0	0	0	0	101143	1.50335292661101e-05	Inf	Inf	2.65761027231179	-0.513075756888919	6.21983105809895	-0.215940114469705	-1.36409837101638	-0.0501966004551929	0.0508149839193468	-0.00981029333282857	0.11892662309866	-0.00295641229979032	-0.158094167881757	-0.000687236122652944	0.117080758849427	0.0549345080947893	0.00981029333282857	0.11892662309866	0.0508149839193468	0.00981029333282857	-0.00574197142391456	-0.172416521934022	-0.172416521934022	-0.000486425564200762
25	13	15	16	-1	0	103.26	101142	292.55	290.4	-41.1	51	73.9	137	7.6	243.222	1.2044086988526	240.894266828351	20.0005200433615	219512.398330736	0	0	0	0	0	0	0	0	0	101142	1.50318548443694e-05	Inf	Inf	2.68935674768775	-0.563684847257193	11.0200287616624	-0.208255691435605	-1.2526287542753	-0.0522637294336458	0.0514070559644482	-0.0107748362184288	0.210647856877923	-0.00285037743040614	-0.145133060575009	-0.000715329092710921	0.209718597354589	0.0550755384342054	0.0107748362184288	0.210647856877923	0.0514070559644482	0.0107748362184288	-0.00589888455183175	-0.159622291890638	-0.159622291890638	-0.000612270413900146
26	13	16	5	-0	0	103.27	101140	292.54	297.3	-42.6	85.8	109.3	159	7.6	243.455	1.20442605258102	240.917593598662	20.0013442915037	219530.415718685	0	0	0	0	0	0	0	0	0	101140	1.50312405759467e-05	Inf	Inf	2.75236902666593	-0.590151728864041	15.8841273871227	-0.233460576024835	-1.11452865778309	-0.0510443996712095	0.0526064416222895	-0.0112796584222526	0.303595706831468	-0.00319504509165401	-0.129119895082936	-0.000698572587298742	0.303595706831468	0.0526064416222895	0.0112796584222526	0.303595706831468	0.0526064416222895	0.0112796584222526	-0.00637425029948255	-0.143947176806376	-0.143947176806376	-0.000698572587298742
27	13	16	43	1	0	103.22	101144	292.51	306.5	-42	119.9	141.9	183	8	243.432	1.20459721813479	240.800959839652	19.9950814115856	219510.287716389	0	0	0	0	0	0	0	0	0	101144	1.50279118080363e-05	Inf	Inf	2.83286472652186	-0.575736832179203	20.5345022485034	-0.248119519434273	-0.984469208143386	-0.053648242763336	0.0541711935182886	-0.0110094742821972	0.392669118539651	-0.00339730605539612	-0.114107545709965	-0.000734563328257303	0.393554730817436	0.0473099219310079	0.0110094742821972	0.392669118539652	0.0541711935182886	0.0110094742821972	-0.00648654912743102	-0.12937585739996	-0.12937585739996	-0.000847657342451805
28	13	17	25	2	0	103.27	101141	292.49	320.3	-39.8	154.5	173.7	211.5	8	243.677	1.20464385495467	240.917593598662	19.9995360652916	219579.312952745	0	0	0	0	0	0	0	0	0	101141	1.50265347292242e-05	Inf	Inf	2.95933379935994	-0.537749376614001	25.3508044358787	-0.239718163914164	-0.850954145365017	-0.0568670151324728	0.0565621903344404	-0.0102780844117167	0.48453372375346	-0.00328068385693003	-0.0985843739437566	-0.000778258499442294	0.486212550875676	0.0396177510819635	0.0102780844117167	0.484533723753461	0.0565621903344404	0.0102780844117167	-0.00614666840456069	-0.114526595183603	-0.114526595183603	-0.000992300039108607
29	13	18	15	3	0	103.32	101142	292.49	337.2	-41	185	206.5	243	7.5	243.847	1.20465576549396	241.034227589044	20.004277714485	219633.54410046	0	0	0	0	0	0	0	0	0	101142	1.50263861605314e-05	Inf	Inf	3.11252619745475	-0.567644835970442	30.042199692181	-0.251043869123405	-0.714403545451331	-0.0504754279309256	0.059461392905912	-0.0108442308534629	0.573923214241672	-0.00343402029251838	-0.082724723501898	-0.000690451610683001	0.576248641280279	0.029343082906128	0.0108442308534629	0.573923214241672	0.059461392905912	0.0108442308534629	-0.00644546849908206	-0.0994840935922436	-0.0994840935922436	-0.00102683512808014
30	13	19	14	4	0	103.29	101136	292.45	357.5	-39.2	216	237.6	278.9	7.5	243.908	1.20474905989912	240.964247167051	20.0005990862128	219633.411114797	0	0	0	0	0	0	0	0	0	101136	1.50236320237413e-05	Inf	Inf	3.29790672756661	-0.558965396899344	34.6514519085602	-0.230074197880462	-0.567686932406593	-0.0492165921263676	0.0630211814236546	-0.0106815209153993	0.662170163597603	-0.00314809089178077	-0.0657546891628693	-0.000673427558695682	0.664953285746938	0.0166770093620008	0.0106815209153993	0.662170163597603	0.0630211814236546	0.0106815209153993	-0.00609673102978795	-0.0835173962134946	-0.0835173962134946	-0.00109707358101345
